Term,Count
年,229967
人,141256
大,126501
中,120712
有,116961
會,87758
月,87555
港,82180
面,80007
香,77213
市,73038
香港,72609
成,68479
法,68201
日,67714
家,64865
主,62723
地,59357
文,58464
都,56489
公,54892
生,52746
名,52526
行,52235
電,51118
多,48981
方,47555
東,46412
間,44992
分,44168
經,44041
路,42854
西,42313
新,41021
參,40926
世,40917
度,40367
南,40175
市鎮,40095
民,39093
道,38397
部,38360
代,38279
物,35639
音,35138
中國,35133
美,33980
子,33676
理,33372
響,33118
球,33017
斯,32519
海,32216
0年,32001
當,31791
北,31506
華,31269
話,30273
天,30193
等,30123
山,30120
通,30043
手,29499
亞,29113
日本,29113
指,28486
但,28338
合,28205
樂,27782
頁,27771
平,27560
利,27143
界,26958
影,26814
或,26755
1年,26734
金,26535
州,26496
9年,26075
站,26062
無,25837
節,25694
8年,25626
2年,25599
7年,25484
網頁,25360
字,25167
心,25070
原,25019
不,25000
6年,24946
目,24832
工,24592
力,24342
參考,24333
3年,23826
德,23822
業,23351
灣,23128
5年,23050
相,23044
意,22992
司,22831
城,22779
門,22495
阿,22321
科,22263
4年,22193
曲,22034
能,21965
條,21785
基,21731
正,21510
水,21430
安,21345
集,21284
王,20937
常,20661
治,20556
比,20332
拉,20200
羅,19869
件,19835
林,19661
果,19330
建,19323
品,19116
星,19079
巴,19071
設,19052
風,19002
的,18902
位置,18845
傳,18733
軍,18724
和,18643
府,18521
計,18444
單,18243
情,18088
包,17951
性,17763
史,17702
洲,17602
身,17410
足球,17296
色,17167
結,17092
角,16920
花,16877
被,16731
蘭,16499
打,16354
萬,16292
元,16162
古,16081
所以,15913
李,15562
受,15419
球員,15359
令,15206
2月,15071
愛,15029
沙,14858
量,14780
格,14746
1月,14720
社,14714
列,14642
流,14601
義,14456
街,14025
言,13936
演員,13845
克,13747
保,13655
神,13638
片,13553
江,13544
解,13349
公司,13242
世界,13213
反,13148
田,13034
政府,12994
光,12973
商,12674
卡,12454
臺灣,12235
想,12191
足球員,12169
省,12074
米,11977
派,11965
節目,11885
里,11865
大學,11845
食,11713
石,11460
空,11374
我,11226
代表,11092
己,10954
河,10902
歌手,10885
京,10869
澳,10867
選舉,10666
局,10606
波,10541
轉,10519
政治,10478
支,10367
管,10298
未,10243
班,10230
習,10228
村,10037
段,9994
出世,9990
氣,9939
樓,9934
思,9841
排,9814
模,9740
朝,9733
福,9699
非,9662
研究,9618
陸,9440
9月,9246
日本足球,9215
個人,9093
中心,9092
12月,9044
聖,9004
根,8954
母,8945
作品,8852
康,8817
布,8776
陽,8757
命,8742
更,8685
族,8580
醫,8459
像,8397
帝,8388
7月,8386
典,8382
威,8379
尾,8368
火,8364
熱,8268
功,8267
21年,8185
念,8181
16年,8164
周,8153
地方,8060
語言,8039
18年,8034
博,8015
案,7964
武,7956
走,7947
監,7902
象,7896
17年,7890
10月,7877
倫,7826
文化,7787
識,7744
席,7741
人民,7706
8月,7688
19年,7688
越,7665
律,7656
6月,7596
4月,7588
伊,7548
3月,7535
季,7522
雙,7489
20年,7399
伯,7382
5月,7321
域,7257
11月,7244
宗,7227
人口,7214
丁,7187
志,7149
葉,7144
6號,7140
冠,7096
易,6930
介,6893
15年,6855
境,6848
10年,6844
印,6819
你,6744
年代,6737
衛,6679
洋,6487
永,6413
12年,6412
底,6386
22年,6355
系統,6349
14年,6320
橋,6314
銀,6295
票,6275
牌,6244
富,6242
製作,6232
賓,6209
車站,6209
望,6135
氏,6094
委員會,6051
套,6037
梁,6006
11年,5928
拍,5897
覺,5873
工作,5847
步,5846
率,5843
公里,5804
設計,5799
吉,5796
13年,5731
佛,5723
川,5668
項,5666
鐘,5661
參考資料,5661
出名,5614
精,5570
植物,5552
左,5548
升,5537
哈,5509
活動,5506
風俗,5501
民國,5451
數字,5414
盟,5370
澳門,5311
學院,5297
比較,5262
拜,5249
教育,5233
溫,5224
自然,5190
酒,5189
登,5164
0年代,5143
九龍,4980
塔,4941
督,4935
組織,4926
詩,4884
廣東話,4878
冠軍,4841
民主,4803
滿,4797
平方,4777
工程,4741
城市,4691
右,4688
旅,4677
人物,4660
先生,4659
方法,4636
仁,4629
一部,4628
中央,4596
油,4548
房,4542
甲,4490
歌曲,4488
曼,4454
序,4428
事件,4412
鍾,4406
交通,4386
總統,4374
雪,4354
瑞,4337
23年,4328
等等,4319
網站,4318
菲,4306
輪,4274
配音,4233
系列,4213
雷,4199
幹,4183
角色,4171
背,4135
君,4132
皮,4118
主席,4115
摩,4109
廳,4100
串,4095
政區,4074
符,4074
隆,4055
字母,4037
策,4032
貝,4024
生活,4002
革,3988
岸,3985
森,3979
善,3951
微,3926
黎,3924
戶,3908
眼,3906
邦,3903
谷,3886
地鐵,3881
經過,3878
籍,3872
需要,3845
農,3826
有限公司,3824
主題,3805
船,3781
索,3750
買,3728
會議,3717
毛,3676
郎,3674
機場,3666
90年,3661
按,3648
作家,3645
肉,3635
仙,3622
自由,3616
出版,3599
梅,3597
楚,3597
國廣,3597
塞,3591
馬來,3579
朱,3574
載,3489
娛樂,3485
夢,3464
魔,3461
經歷,3454
97年,3440
宋,3437
幕,3437
99年,3436
絕,3431
簡稱,3427
埔,3426
行為,3423
斯坦,3420
時代,3408
惠,3406
學名,3363
成功,3333
喜,3317
生物,3309
藏,3304
味,3298
胡,3297
概念,3272
敦,3271
玉,3271
98年,3267
佬,3262
人類,3248
中派,3219
流行,3213
親中派,3200
文學,3199
雨,3174
華民,3169
廣場,3160
